title,link,time,text
Картка в біткоїнах та купівля акцій в monobank затримуються. Співзасновник попросив «трішки почекати»,"https://itc.ua/news/kartka-v-bitkoyinah-ta-kupivlya-akczij-v-monobank-zatrimuyutsya-spivzasnovnik-poprosiv-trishki-pochekati/""",12.11.2021 в 14:58,Оновленнями щодо статусу та термінів появи картки у біткоїнах та купівлі акцій в monobank поділився співзасновник популярного платіжного застосунку Олег Гороховський у своєму Telegram-каналі.…
Ajax Systems обладнав сучасну лабораторію для Факультету електроніки (ФЕЛ) НТУУ «КПІ ім. Ігоря Сікорського»,"https://itc.ua/news/ajax-systems-obladnali-suchasnu-doslidniczku-laboratoriyu-dlya-fakultetu-elektroniki-fel-kpi-im-igorya-sikorskogo/""",12.11.2021 в 13:48,"У рамках Меморандуму про співпрацю між Ajax Systems та НТУУ «КПІ ім. Ігоря Сікорського», компанія відремонтувала лабораторію факультету електроніки та облаштувала її всім необхідним для…"
После выхода GTA: The Trilogy «упали» серверы Rockstar Games Launcher. Сборник сняли с продажи для ПК,"https://itc.ua/news/posle-vyhoda-gta-the-trilogy-upali-servery-rockstar-games-launcher-sbornik-snyali-s-prodazhi-dlya-pk/""",12.11.2021 в 12:40,Вскоре после релиза сборника GTA: The Trilogy — The Definitive Edition начались проблемы в работе Rockstar Games Launcher на ПК. Соответствующие серверы перестали работать вечером 11 ноября. В результате сбоя многие…
"В Україні вже 39 тис. приватних сонячних станцій із загальною потужністю 1 ГВт (за останній квартал додалось ще 4,2 тис. СЕС)","https://itc.ua/news/za-minulij-kvartal-ukrayinczi-vstanovili-ponad-4-tis-privatnih-sonyachnih-stanczij-yih-kilkist-v-krayini-vzhe-zrosla-do-39-tis/""",12.11.2021 в 12:21,"В Україні вже нараховується більше 39 тис. домогосподарств, які використовують сонячні панелі та заощаджують на рахунках за електроенергію. При цьому, загальна потужність встановлених СЕС у…"
Xiaomi представила в Україні фітнес-браслет Redmi Smart Band Pro — за промо-ціною 1299 грн,"https://itc.ua/news/xiaomi-predstavila-v-ukrayini-fitnes-braslet-redmi-smart-band-pro-za-promo-czinoyu-299-grn/""",12.11.2021 в 12:07,"Xiaomi представила в Україні новий фітнес-браслет Redmi Smart Band Pro, повідомивши гривневі ціни та дату початку продажів. Redmi Smart Band Pro — це свого роду молодший брат смартгодинника Redmi Watch 2 (або Mi Smart Band 6…"
"Українська онлайн-школа програмування Mate Academy залучила $1,9 млн інвестицій для масштабування на ринки США та Польщі","https://itc.ua/news/ukrayinska-onlajn-shkola-programuvannya-mate-academy-zaluchila-9-mln-dlya-masshtabuvannya-v-ssha-i-polshhi/""",12.11.2021 в 11:52,"Українська онлайн-школа Mate Academy, яка надає 4-місячний курс навчання програмуванню в обмін на відсоток від зарплати після працевлаштування, залучила $1,9 млн інвестицій. Команда планує…"
Мобильные процессоры AMD Ryzen 7000 линейки Raphael-H получат микроархитектуру Zen4 и до 16 вычислительных ядер,"https://itc.ua/news/mobilnye-proczessory-amd-ryzen-7iii-linejki-raphael-h-poluchat-mikroarhitekturu-zen4-i-do-6-vychislitelnyh-yader/""",12.11.2021 в 10:43,"Инсайдер Greymon55 поделился дополнительной порцией слухов о грядущих мобильных процессорах AMD семейства Raphael. Уже совсем скоро Intel выпустит серию мобильных процессоров Alder Lake-P, включающую до 14…"
«Укроборонпром» візьметься за створення українських бойових роботів,"https://itc.ua/news/ukroboronprom-vizmetsya-za-stvorennya-vitchiznyanih-bojovih-robotiv/""",12.11.2021 в 10:20,"На виробничих потужностях заводу «Меридіан» ім. Сергія Корольова, який входить до концерну «Укроборонпром», планується налагодити лінію з серійного виробництва українських бойових…"
"Alibaba отчиталась о новом рекорде продаж в День холостяка. За сутки были проданы товары на $84,5 млрд","https://itc.ua/news/alibaba-otchitalas-o-novom-rekorde-prodazh-v-den-holostyaka-za-sutki-byli-prodany-tovary-na-845-mlrd/""",12.11.2021 в 09:12,"Китайский интернет-ритейлер Alibaba Group (владелец AliExpress, Tmall и TaoBao) установил новый рекорд продаж в день ежегодной распродажи «11.11» — продажи достигли 540,3 млрд юаней ($84,5 млрд), пишет Bloomberg. Новый…"
"Анонсирован электрокроссовер Subaru Solterra: передний и полный привод, мощность 150/160 кВт, батарея 71 кВтч и пробег 460-530 км","https://itc.ua/news/anonsirovan-serijnyj-elektrokrossover-subaru-solterra/""",11.11.2021 в 21:09,"Сегодня японский автопроизводитель Subaru представил предсерийную версию электрокроссовера Subaru Solterra, которую начнут продавать уже в 2022 году на всех основных мировых рынках, включая США,…"
Rozetka собирается запустить в Узбекистане маркетплейс и кроссборд — узбекские товары будут доступны украинцам и наоборот,"https://itc.ua/news/rozetka-nachala-rabotat-nad-kross-bordom-s-uzbekistanom-uzbekskie-tovary-budut-dostupny-ukrainczam-i-naoborot/""",11.11.2021 в 19:17,"Недавно мы рассказали о том, что украинский интернет-магазин Rozetka вышел на рынок Узбекистана. На данный момент в этой стране у магазина очень ограниченный ассортимент и всего две точки выдачи…"
Seagate показала HDD с подключением PCIe NVMe,"https://itc.ua/news/seagate-pokazala-hdd-s-podklyucheniem-pcie-nvme/""",11.11.2021 в 19:11,"Во время проведения мероприятия Open Compute Project Summit компания Seagate продемонстрировала первый в отрасли жёсткий диск, оснащённый интерфейсом PCIe. Он использует протокол NVMe для совместной работы с…"
"Oppo представила в Україні смартгодинник Watch Free за 2 699 грн — з екраном AMOLED 1,64 дюйма та 14-денною автономністю","https://itc.ua/news/v-ukrayini-startuvali-prodazhi-rozumnogo-godinnika-oppo-watch-free-za-2-699-grn-z-ekranom-amoled-64-dyujma-ta-4-dennoyu-avtonomnistyu/""",11.11.2021 в 18:55,"11 листопада Oppo повідомила про початок офіційних продажів розумного годинника Oppo Watch Free — наприкінці вересня гаджет вийшов у Китаї, а зараз дістався України. Oppo представила в Україні…"
"Релиз GTA: The Trilogy — The Definitive Edition. Обновленные GTA III, Vice City и San Andreas вышли на ПК и консолях","https://itc.ua/news/reliz-gta-the-trilogy-the-definitive-edition-obnovlennye-gta-iii-vice-city-i-san-andreas-vyshli-na-pk-i-konsolyah/""",11.11.2021 в 17:59,"11 ноября состоялся еще один крупный игровой релиз (помимо юбилейной TES V: Skyrim) — сборник ремастеров GTA III, Vice City и San Andreas уже доступен в цифровых магазинах как для ПК, так и для консолей PlayStation и Xbox…"
